datum,žák,předmět,známka
14.5.,Ferda,Čtení,1
13.4.,Mach,Čtení,1
14.6.,Rusalka,Grafika,2
7.6.,Ferda,Psaní,1
7.4.,Dlouhý,Matematika,1
2.5.,Tuček,Psaní,1
2.5.,Šlajs,Psaní,1
16.5.,Sněhurka,Zpěv,1
8.5.,Mach,Tělocvik,2
19.3.,Rusalka,Programování,1
10.6.,Popelka,Grafika,2
4.4.,Tom,Tělocvik,2
9.6.,Gump,Psaní,3
1.3.,Široký,Grafika,2
19.6.,Karkulka,Grafika,1
19.5.,Pažout,Zeměpis,5
19.5.,Potter,Tělocvik,1
28.6.,Zvonilka,Čtení,1
2.6.,Bob,Matematika,4
17.2.,Ferda,Programování,1
25.5.,Sněhurka,Čtení,1
12.3.,Šebestová,Zeměpis,1
21.5.,Jasoň,Čtení,2
16.2.,Nemo,Grafika,1
13.2.,Drsoň,Matematika,2
15.2.,Bystrozraký,Programování,1
19.2.,Popelka,Tělocvik,1
27.2.,Potter,Grafika,1
23.5.,Arabela,Programování,1
13.2.,Horáček,Psaní,3
17.4.,Jasoň,Tělocvik,1
8.6.,Jerry,Psaní,2
21.5.,Ferda,Matematika,1
21.5.,Rumcasj,Grafika,3
10.3.,Pažout,Čtení,4
18.6.,Jasoň,Grafika,1
25.3.,Karkulka,Psaní,1
1.2.,Tom,Zpěv,2
1.5.,Karkulka,Zpěv,1
22.3.,Tuček,Psaní,1
22.3.,Šlajs,Psaní,1
10.2.,Zvonilka,Zpěv,1
13.2.,Nemo,Zeměpis,1
22.5.,Horáček,Programování,3
9.3.,Nemo,Grafika,1
10.2.,Rumcasj,Zpěv,1
11.4.,Fantomas,Tělocvik,2
25.6.,Rumcasj,Čtení,3
18.4.,Pažout,Programování,5
17.6.,Gump,Grafika,3
5.2.,Sněhurka,Matematika,1
1.2.,Popelka,Zpěv,2
28.2.,Jerry,Programování,2
16.5.,Šebestová,Čtení,2
14.2.,Tuček,Čtení,2
14.2.,Šlajs,Čtení,2
7.2.,Pažout,Čtení,5
12.4.,Krakonoš,Programování,1
13.6.,Šebestová,Zeměpis,2
15.4.,Ferda,Psaní,1
2.2.,Bystrozraký,Programování,1
12.6.,Tom,Matematika,2
27.5.,Tom,Zeměpis,3
21.6.,Mach,Čtení,1
25.6.,Popelka,Psaní,1
5.2.,Rumcasj,Čtení,2
24.4.,Nemo,Grafika,2
13.6.,Tuček,Programování,3
13.6.,Šlajs,Programování,3
22.3.,Fantomas,Grafika,2
8.2.,Jasoň,Zeměpis,1
17.3.,Sněhurka,Čtení,1
20.3.,Zvonilka,Zpěv,1
10.3.,Tom,Matematika,2
18.5.,Široký,Zeměpis,1
22.4.,Arabela,Zeměpis,1
17.6.,Krakonoš,Grafika,1
14.6.,Jasoň,Matematika,1
16.3.,Bystrozraký,Tělocvik,3
21.3.,Jerry,Tělocvik,2
6.2.,Rusalka,Zpěv,1
4.4.,Šebestová,Programování,1
9.2.,Tuček,Psaní,3
9.2.,Šlajs,Psaní,3
20.4.,Potter,Matematika,1
18.2.,Tom,Matematika,2
5.3.,Jasoň,Zpěv,1
23.6.,Popelka,Zeměpis,1
11.5.,Popelka,Čtení,1
18.2.,Zvonilka,Matematika,2
23.2.,Fantomas,Čtení,1
2.5.,Nemo,Programování,3
7.6.,Popelka,Zeměpis,2
17.6.,Mach,Zpěv,1
25.4.,Horáček,Zpěv,1
15.2.,Drsoň,Grafika,2
13.4.,Šebestová,Psaní,1
13.4.,Popelka,Čtení,1
10.4.,Bystrozraký,Zpěv,1
25.2.,Tuček,Čtení,1
25.2.,Šlajs,Čtení,1
24.6.,Bobek,Grafika,3
2.4.,Pažout,Matematika,4
20.6.,Drsoň,Zpěv,2
23.6.,Horáček,Grafika,3
17.5.,Bob,Tělocvik,1
16.3.,Bob,Programování,1
16.4.,Fantomas,Grafika,3
1.6.,Nemo,Programování,2
20.4.,Drsoň,Zpěv,3
5.4.,Rusalka,Matematika,1
24.6.,Krátkozraký,Programování,1
18.5.,Bystrozraký,Zeměpis,2
7.2.,Jerry,Čtení,2
21.5.,Drsoň,Zpěv,3
16.5.,Drsoň,Čtení,1
24.2.,Rumcasj,Psaní,2
5.4.,Arabela,Matematika,2
2.2.,Bob,Zpěv,3
28.4.,Ferda,Čtení,2
19.5.,Rumcasj,Programování,2
20.5.,Bob,Zpěv,1
6.2.,Šebestová,Grafika,1
21.6.,Šebestová,Čtení,1
19.6.,Potter,Tělocvik,1
10.6.,Široký,Matematika,1
10.4.,Krakonoš,Grafika,1
20.4.,Karkulka,Zeměpis,1
13.4.,Popelka,Tělocvik,1
22.6.,Jasoň,Matematika,2
16.3.,Ferda,Zpěv,1
1.5.,Nemo,Psaní,2
17.2.,Zvonilka,Zeměpis,2
13.3.,Dlouhý,Čtení,1
10.2.,Tom,Matematika,3
25.5.,Rusalka,Zpěv,1
1.2.,Rumcasj,Čtení,3
17.3.,Šebestová,Zpěv,1
6.5.,Bobek,Tělocvik,3
8.2.,Popelka,Zeměpis,1
2.2.,Potter,Zpěv,1
14.4.,Fantomas,Čtení,2
12.5.,Ferda,Čtení,1
25.4.,Drsoň,Matematika,1
7.4.,Jasoň,Programování,1
14.3.,Fantomas,Programování,3
5.5.,Rumcasj,Matematika,1
22.2.,Nemo,Grafika,1
9.3.,Gump,Grafika,3
13.5.,Široký,Programování,1
20.2.,Nemo,Matematika,1
21.5.,Horáček,Zpěv,4
27.6.,Pažout,Tělocvik,5
12.3.,Krakonoš,Zeměpis,1
9.2.,Sněhurka,Programování,1
2.2.,Jerry,Matematika,2
18.3.,Bystrozraký,Matematika,2
25.2.,Široký,Programování,1
25.5.,Zvonilka,Zpěv,2
6.3.,Gump,Čtení,4
12.5.,Sněhurka,Tělocvik,1
23.2.,Ferda,Zpěv,1
26.3.,Šebestová,Psaní,1
1.3.,Rusalka,Psaní,1
11.5.,Bobek,Grafika,1
1.5.,Zvonilka,Zpěv,1
14.2.,Ferda,Tělocvik,2
8.2.,Šebestová,Psaní,1
7.3.,Nemo,Tělocvik,1
3.4.,Pažout,Psaní,3
26.4.,Arabela,Zpěv,1
2.3.,Sněhurka,Grafika,1
2.6.,Krátkozraký,Čtení,2
12.2.,Krakonoš,Tělocvik,1
21.2.,Gump,Psaní,3
4.4.,Bystrozraký,Tělocvik,1
18.3.,Drsoň,Grafika,2
26.4.,Mach,Tělocvik,1
17.5.,Šebestová,Psaní,1
12.2.,Nemo,Grafika,3
1.3.,Bystrozraký,Programování,1
28.5.,Široký,Tělocvik,1
10.4.,Drsoň,Psaní,2
22.2.,Ferda,Zeměpis,1
15.2.,Sněhurka,Zeměpis,1
17.5.,Arabela,Čtení,2
18.3.,Pažout,Matematika,5
2.3.,Jasoň,Tělocvik,1
10.5.,Bystrozraký,Matematika,3
10.3.,Krátkozraký,Zpěv,1
3.6.,Drsoň,Matematika,3
21.4.,Široký,Zpěv,1
6.5.,Horáček,Psaní,5
16.3.,Zvonilka,Čtení,2
19.4.,Gump,Tělocvik,1
22.6.,Nemo,Grafika,2
10.2.,Nemo,Programování,3
20.4.,Arabela,Programování,1
12.3.,Tuček,Psaní,1
12.3.,Šlajs,Psaní,1
18.5.,Fantomas,Tělocvik,3
26.2.,Krátkozraký,Psaní,2
10.3.,Horáček,Zeměpis,3
27.4.,Krátkozraký,Čtení,1
28.3.,Dlouhý,Grafika,2
18.2.,Bob,Grafika,1
4.2.,Karkulka,Tělocvik,1
9.2.,Krakonoš,Zpěv,2
11.5.,Horáček,Matematika,5
13.3.,Ferda,Zpěv,1
28.4.,Tuček,Grafika,2
28.4.,Šlajs,Grafika,2
27.4.,Karkulka,Grafika,1
21.3.,Jerry,Zpěv,3
18.5.,Pažout,Psaní,5
1.5.,Jasoň,Psaní,1
5.3.,Popelka,Grafika,1
15.5.,Dlouhý,Tělocvik,3
1.3.,Horáček,Grafika,1
9.5.,Krakonoš,Programování,2
5.5.,Drsoň,Grafika,3
5.6.,Krátkozraký,Zpěv,2
15.6.,Široký,Programování,1
7.2.,Horáček,Psaní,1
23.4.,Zvonilka,Psaní,2
2.5.,Široký,Psaní,1
3.3.,Potter,Psaní,1
18.4.,Krátkozraký,Čtení,2
7.2.,Horáček,Tělocvik,5
28.6.,Pažout,Programování,5
20.3.,Bob,Programování,2
23.6.,Pažout,Zpěv,4
26.4.,Jerry,Čtení,2
18.2.,Potter,Grafika,1
4.4.,Široký,Matematika,1
11.6.,Ferda,Čtení,1
25.5.,Zvonilka,Tělocvik,1
13.4.,Popelka,Čtení,1
7.3.,Krakonoš,Matematika,1
6.5.,Mach,Matematika,1
21.2.,Jasoň,Tělocvik,2
14.5.,Krakonoš,Grafika,1
14.6.,Tuček,Psaní,1
14.6.,Šlajs,Psaní,1
23.6.,Krakonoš,Grafika,2
5.5.,Rumcasj,Zeměpis,1
13.5.,Bob,Grafika,4
13.2.,Pažout,Psaní,4
25.5.,Široký,Zpěv,1
14.3.,Potter,Zeměpis,1
7.5.,Krakonoš,Programování,1
26.3.,Tuček,Zeměpis,3
26.3.,Šlajs,Zeměpis,3
14.3.,Popelka,Psaní,1
25.2.,Jerry,Programování,3
14.4.,Šebestová,Matematika,1
8.2.,Sněhurka,Programování,1
7.6.,Jerry,Tělocvik,3
14.6.,Bob,Čtení,3
18.5.,Tuček,Matematika,2
18.5.,Šlajs,Matematika,2
2.5.,Nemo,Tělocvik,1
18.6.,Arabela,Zpěv,1
10.2.,Arabela,Programování,2
1.3.,Bystrozraký,Čtení,1
23.3.,Krátkozraký,Zpěv,2
23.5.,Fantomas,Programování,4
25.2.,Drsoň,Tělocvik,2
18.4.,Mach,Grafika,2
10.3.,Krátkozraký,Zpěv,2
14.3.,Zvonilka,Matematika,1
28.4.,Ferda,Tělocvik,1
27.4.,Ferda,Zeměpis,1
17.4.,Potter,Psaní,1
8.2.,Zvonilka,Čtení,1
8.6.,Horáček,Programování,2
21.6.,Bobek,Čtení,1
18.6.,Drsoň,Programování,2
1.3.,Bob,Zeměpis,1
2.6.,Bystrozraký,Tělocvik,3
2.2.,Bystrozraký,Matematika,2
5.2.,Bobek,Grafika,2
28.6.,Krakonoš,Psaní,1
28.4.,Rumcasj,Psaní,1
27.4.,Gump,Zpěv,3
7.5.,Fantomas,Matematika,2
11.3.,Rumcasj,Zeměpis,3
16.2.,Rusalka,Grafika,1
18.4.,Gump,Matematika,2
11.3.,Ferda,Grafika,1
14.6.,Bystrozraký,Psaní,1
22.3.,Popelka,Grafika,1
22.6.,Široký,Zeměpis,1
12.5.,Sněhurka,Matematika,1
1.5.,Zvonilka,Psaní,1
23.5.,Sněhurka,Tělocvik,1
2.4.,Rumcasj,Grafika,1
6.6.,Šebestová,Psaní,1
23.2.,Jasoň,Programování,1
7.2.,Tom,Matematika,2
28.2.,Dlouhý,Tělocvik,2
4.5.,Dlouhý,Zpěv,2
22.2.,Potter,Zpěv,1
23.4.,Popelka,Programování,1
1.6.,Široký,Čtení,1
10.2.,Arabela,Čtení,1
9.6.,Sněhurka,Zpěv,1
2.3.,Drsoň,Matematika,3
6.2.,Gump,Zpěv,1
20.4.,Rusalka,Zeměpis,2
19.4.,Nemo,Psaní,1
17.3.,Bobek,Psaní,1
4.5.,Arabela,Matematika,1
8.2.,Bystrozraký,Čtení,1
21.4.,Krakonoš,Čtení,1
7.4.,Ferda,Grafika,1
25.2.,Krakonoš,Zeměpis,1
18.6.,Horáček,Grafika,5
1.3.,Jerry,Zpěv,2
24.2.,Jerry,Psaní,3
28.5.,Rusalka,Programování,1
26.2.,Dlouhý,Tělocvik,1
26.3.,Mach,Grafika,1
12.6.,Tuček,Grafika,1
12.6.,Šlajs,Grafika,1
11.4.,Arabela,Zeměpis,1
21.6.,Dlouhý,Zpěv,1
1.5.,Gump,Psaní,1
1.3.,Popelka,Tělocvik,1
2.6.,Sněhurka,Grafika,1
28.6.,Bob,Matematika,2
18.2.,Arabela,Programování,1
8.3.,Pažout,Programování,3
27.2.,Mach,Programování,1
21.2.,Tuček,Zeměpis,2
21.2.,Šlajs,Zeměpis,2
7.3.,Drsoň,Grafika,2
14.3.,Tom,Zeměpis,2
14.3.,Jasoň,Programování,1
15.2.,Jerry,Tělocvik,3
20.2.,Potter,Matematika,1
19.3.,Tuček,Grafika,1
19.3.,Šlajs,Grafika,1
23.5.,Drsoň,Matematika,3
4.2.,Bystrozraký,Matematika,1
17.5.,Bystrozraký,Grafika,1
1.5.,Horáček,Matematika,5
18.2.,Mach,Zpěv,2
20.6.,Potter,Čtení,1
9.2.,Tuček,Zpěv,1
9.2.,Šlajs,Zpěv,1
3.2.,Horáček,Zeměpis,1
5.4.,Jerry,Tělocvik,1
27.6.,Krakonoš,Psaní,1
10.5.,Jasoň,Čtení,1
5.4.,Rumcasj,Zeměpis,1
17.3.,Potter,Tělocvik,1
11.4.,Krátkozraký,Čtení,1
4.5.,Ferda,Zeměpis,2
23.3.,Tuček,Tělocvik,1
23.3.,Šlajs,Tělocvik,1
13.4.,Bobek,Zpěv,3
21.4.,Gump,Zpěv,1
26.5.,Jasoň,Grafika,1
10.2.,Ferda,Zeměpis,1
12.3.,Tuček,Tělocvik,1
12.3.,Šlajs,Tělocvik,1
15.5.,Bobek,Psaní,1
28.3.,Potter,Tělocvik,1
16.5.,Rusalka,Matematika,2
14.3.,Tuček,Psaní,4
14.3.,Šlajs,Psaní,4
7.4.,Rusalka,Čtení,1
4.4.,Bystrozraký,Tělocvik,1
23.6.,Popelka,Psaní,1
23.2.,Tom,Psaní,1
27.4.,Dlouhý,Psaní,2
25.6.,Rusalka,Zeměpis,1
8.4.,Arabela,Tělocvik,1
9.5.,Drsoň,Tělocvik,3
22.3.,Šebestová,Tělocvik,1
9.2.,Fantomas,Programování,3
6.2.,Potter,Zpěv,1
9.2.,Široký,Zeměpis,2
3.4.,Jerry,Tělocvik,2
10.2.,Zvonilka,Programování,1
14.6.,Krátkozraký,Psaní,1
11.5.,Horáček,Matematika,5
18.2.,Karkulka,Čtení,1
2.4.,Horáček,Tělocvik,3
18.6.,Rumcasj,Grafika,1
24.5.,Krakonoš,Čtení,1
14.6.,Bobek,Grafika,2
15.5.,Rusalka,Zeměpis,1
27.3.,Rusalka,Programování,1
20.3.,Tom,Psaní,2
13.4.,Ferda,Programování,1
11.6.,Jerry,Tělocvik,3
15.2.,Fantomas,Čtení,1
26.2.,Jerry,Čtení,3
3.2.,Ferda,Matematika,1
2.2.,Gump,Čtení,1
8.3.,Ferda,Tělocvik,1
14.3.,Rumcasj,Programování,3
24.3.,Rusalka,Programování,1
21.4.,Fantomas,Psaní,2
2.3.,Jerry,Grafika,2
1.2.,Tuček,Zpěv,2
1.2.,Šlajs,Zpěv,2
5.6.,Popelka,Zeměpis,1
26.6.,Zvonilka,Programování,1
1.5.,Rusalka,Zpěv,1
16.6.,Popelka,Zpěv,1
8.6.,Jerry,Matematika,2
27.4.,Sněhurka,Čtení,1
18.2.,Drsoň,Čtení,3
19.6.,Krakonoš,Grafika,1
13.2.,Arabela,Matematika,1
3.6.,Šebestová,Psaní,1
17.6.,Bystrozraký,Zpěv,1
21.2.,Dlouhý,Psaní,1
24.3.,Tom,Zeměpis,2
26.5.,Karkulka,Grafika,1
24.5.,Horáček,Tělocvik,5
7.2.,Jasoň,Tělocvik,1
9.6.,Rusalka,Psaní,1
15.2.,Široký,Zpěv,1
25.2.,Rusalka,Tělocvik,1
28.4.,Široký,Zeměpis,1
14.5.,Potter,Zpěv,1
1.2.,Pažout,Psaní,3
14.3.,Mach,Grafika,2
24.4.,Popelka,Psaní,1
13.4.,Jerry,Programování,1
14.5.,Bob,Čtení,1
28.5.,Arabela,Psaní,1
19.5.,Široký,Zeměpis,1
18.6.,Jerry,Grafika,1
3.6.,Mach,Tělocvik,2
4.5.,Drsoň,Tělocvik,3
18.4.,Tom,Čtení,1
19.4.,Jerry,Programování,2
26.6.,Jasoň,Zeměpis,1
14.4.,Šebestová,Zeměpis,1
12.4.,Horáček,Tělocvik,5
2.6.,Ferda,Grafika,1
19.2.,Mach,Psaní,1
8.2.,Bobek,Zeměpis,1
14.3.,Dlouhý,Tělocvik,1
1.2.,Krakonoš,Čtení,1
15.5.,Drsoň,Matematika,3
13.4.,Šebestová,Čtení,2
11.2.,Zvonilka,Matematika,2
25.5.,Nemo,Programování,3
24.6.,Gump,Čtení,4
23.3.,Mach,Zpěv,1
25.3.,Rumcasj,Tělocvik,4
15.2.,Široký,Matematika,2
5.5.,Tuček,Zpěv,3
5.5.,Šlajs,Zpěv,3
18.6.,Krátkozraký,Grafika,1
6.3.,Sněhurka,Programování,1
12.3.,Bob,Zeměpis,1
4.6.,Jerry,Grafika,2
13.3.,Mach,Zpěv,2
5.2.,Rusalka,Matematika,1
4.2.,Bob,Zpěv,1
8.6.,Gump,Psaní,3
17.3.,Drsoň,Psaní,3
6.3.,Fantomas,Programování,1
27.4.,Karkulka,Čtení,1
25.4.,Tuček,Čtení,1
25.4.,Šlajs,Čtení,1
17.6.,Tuček,Matematika,1
17.6.,Šlajs,Matematika,1
3.4.,Jasoň,Zpěv,1
16.3.,Bystrozraký,Tělocvik,3
28.3.,Fantomas,Psaní,2
9.5.,Široký,Programování,1
8.4.,Jerry,Matematika,2
1.4.,Jerry,Tělocvik,1
9.6.,Potter,Zpěv,1
11.6.,Nemo,Psaní,2
15.6.,Jasoň,Zeměpis,1
14.2.,Horáček,Čtení,5
12.3.,Gump,Zpěv,2
17.4.,Tom,Zpěv,2
27.4.,Rumcasj,Matematika,3
5.6.,Bob,Psaní,3
2.6.,Jerry,Matematika,1
21.4.,Zvonilka,Matematika,1
6.2.,Mach,Grafika,1
17.2.,Sněhurka,Grafika,1
17.3.,Krátkozraký,Psaní,1
24.2.,Drsoň,Zeměpis,2
14.4.,Zvonilka,Zpěv,2
12.5.,Ferda,Tělocvik,1
10.3.,Fantomas,Tělocvik,1
5.4.,Krátkozraký,Grafika,1
20.5.,Zvonilka,Matematika,1
28.5.,Bystrozraký,Zpěv,1
2.6.,Potter,Programování,1
2.2.,Sněhurka,Matematika,1
14.3.,Popelka,Grafika,1
26.2.,Ferda,Psaní,1
26.4.,Jasoň,Zpěv,1
21.2.,Rusalka,Čtení,1
7.4.,Pažout,Zpěv,5
16.3.,Sněhurka,Matematika,1
22.2.,Gump,Psaní,1
22.3.,Rusalka,Matematika,1
26.4.,Široký,Psaní,1
8.3.,Tom,Psaní,1
12.2.,Sněhurka,Tělocvik,1
9.2.,Karkulka,Tělocvik,1
18.6.,Šebestová,Grafika,1
4.3.,Jasoň,Zeměpis,1
15.5.,Nemo,Grafika,3
25.4.,Horáček,Zpěv,5
7.5.,Jerry,Matematika,1
2.6.,Sněhurka,Zeměpis,1
22.6.,Pažout,Psaní,3
15.2.,Pažout,Programování,3
26.3.,Mach,Tělocvik,1
27.6.,Zvonilka,Psaní,1
20.5.,Nemo,Psaní,2
21.3.,Jerry,Čtení,3
21.4.,Rumcasj,Matematika,1
14.5.,Tom,Čtení,2
21.2.,Jasoň,Psaní,1
17.6.,Pažout,Tělocvik,5
19.2.,Dlouhý,Čtení,2
26.6.,Drsoň,Psaní,2
3.2.,Krátkozraký,Psaní,1
14.6.,Mach,Grafika,1
18.3.,Bobek,Tělocvik,1
5.2.,Krakonoš,Grafika,1
6.4.,Krátkozraký,Grafika,1
19.6.,Karkulka,Grafika,1
11.6.,Rusalka,Čtení,2
16.5.,Ferda,Zpěv,1
17.3.,Karkulka,Čtení,1
14.6.,Tom,Programování,1
21.3.,Pažout,Grafika,5
22.3.,Drsoň,Psaní,2
3.3.,Mach,Matematika,2
28.4.,Zvonilka,Zpěv,1
3.5.,Široký,Zeměpis,1
15.5.,Dlouhý,Programování,1
2.4.,Krátkozraký,Zpěv,1
2.5.,Fantomas,Zpěv,3
15.6.,Tom,Čtení,2
14.3.,Krátkozraký,Matematika,1
3.6.,Tuček,Programování,2
3.6.,Šlajs,Programování,2
5.4.,Jasoň,Matematika,1
14.2.,Široký,Psaní,1
26.3.,Sněhurka,Programování,1
14.2.,Fantomas,Matematika,1
20.2.,Jasoň,Matematika,1
21.6.,Mach,Čtení,1
16.4.,Potter,Zeměpis,1
23.6.,Dlouhý,Zpěv,2
23.2.,Popelka,Grafika,1
8.3.,Krakonoš,Zeměpis,2
26.2.,Nemo,Psaní,1
19.2.,Sněhurka,Programování,1
19.5.,Potter,Zpěv,1
16.3.,Tom,Zpěv,2
15.5.,Rusalka,Psaní,1
11.2.,Dlouhý,Tělocvik,1
21.5.,Karkulka,Čtení,1
25.5.,Krátkozraký,Zeměpis,1
16.6.,Krakonoš,Programování,1
11.3.,Mach,Tělocvik,2
5.2.,Jerry,Grafika,2
25.5.,Pažout,Zpěv,5
6.4.,Bystrozraký,Čtení,1
26.5.,Ferda,Programování,1
18.4.,Bystrozraký,Tělocvik,1
6.3.,Dlouhý,Zeměpis,1
18.2.,Popelka,Psaní,2
23.5.,Široký,Psaní,1
11.3.,Pažout,Psaní,3
20.2.,Ferda,Grafika,1
9.2.,Tom,Matematika,3
28.5.,Popelka,Matematika,1
13.2.,Nemo,Zeměpis,2
7.4.,Karkulka,Psaní,1
11.2.,Karkulka,Zeměpis,1
19.4.,Šebestová,Čtení,1
25.5.,Arabela,Zpěv,2
23.5.,Ferda,Psaní,1
25.4.,Fantomas,Zeměpis,2
2.6.,Rumcasj,Tělocvik,1
4.4.,Bobek,Zpěv,1
6.3.,Bobek,Tělocvik,2
22.5.,Mach,Tělocvik,2
20.5.,Rusalka,Matematika,1
22.4.,Potter,Matematika,1
16.6.,Rusalka,Čtení,1
4.3.,Tuček,Matematika,3
4.3.,Šlajs,Matematika,3
25.5.,Fantomas,Zpěv,3
6.6.,Ferda,Programování,2
23.4.,Bobek,Matematika,1
23.4.,Bob,Matematika,3
3.5.,Bob,Programování,3
16.5.,Bystrozraký,Grafika,1
28.5.,Bystrozraký,Grafika,1
7.2.,Tuček,Matematika,1
7.2.,Šlajs,Matematika,1
11.5.,Dlouhý,Tělocvik,3
22.5.,Široký,Matematika,1
14.3.,Drsoň,Čtení,1
6.4.,Šebestová,Zeměpis,1
26.6.,Široký,Tělocvik,2
22.3.,Rumcasj,Matematika,3
1.6.,Drsoň,Psaní,2
25.2.,Mach,Tělocvik,1
25.2.,Tom,Matematika,2
3.4.,Nemo,Matematika,1
22.6.,Rusalka,Grafika,1
26.4.,Karkulka,Psaní,1
19.5.,Rumcasj,Tělocvik,1
3.4.,Sněhurka,Čtení,1
10.6.,Zvonilka,Matematika,2
10.4.,Gump,Programování,1
28.2.,Drsoň,Matematika,2
24.4.,Ferda,Matematika,1
11.3.,Arabela,Zeměpis,1
15.6.,Jasoň,Zpěv,1
4.3.,Bobek,Psaní,1
8.6.,Fantomas,Čtení,4
8.3.,Rumcasj,Tělocvik,1
19.6.,Rusalka,Čtení,1
22.3.,Tom,Programování,1
17.3.,Jasoň,Tělocvik,1
14.4.,Bobek,Zeměpis,1
22.5.,Karkulka,Grafika,1
24.6.,Krátkozraký,Grafika,1
2.4.,Široký,Zeměpis,1
15.2.,Široký,Tělocvik,1
12.5.,Rusalka,Matematika,1
19.4.,Rusalka,Psaní,1
16.6.,Horáček,Matematika,5
2.5.,Arabela,Psaní,1
7.2.,Rusalka,Zeměpis,1
4.3.,Fantomas,Tělocvik,1
26.6.,Šebestová,Grafika,2
28.4.,Šebestová,Tělocvik,2
18.6.,Bystrozraký,Grafika,1
20.4.,Horáček,Čtení,1
14.5.,Horáček,Programování,1
7.4.,Bobek,Zeměpis,1
4.3.,Pažout,Zpěv,4
6.2.,Šebestová,Zpěv,1
8.3.,Ferda,Zeměpis,1
28.6.,Drsoň,Programování,2
7.6.,Bob,Zeměpis,3
17.2.,Ferda,Psaní,2
27.5.,Tuček,Programování,4
27.5.,Šlajs,Programování,4
13.6.,Rusalka,Psaní,1
21.5.,Mach,Čtení,2
4.5.,Arabela,Čtení,1
2.4.,Bob,Tělocvik,3
23.3.,Jasoň,Čtení,1
6.4.,Ferda,Zeměpis,2
14.3.,Popelka,Tělocvik,1
22.3.,Šebestová,Zpěv,1
25.4.,Tom,Psaní,2
4.6.,Rusalka,Čtení,1
3.5.,Rusalka,Programování,1
18.5.,Tom,Matematika,2
13.2.,Pažout,Čtení,3
10.3.,Jerry,Programování,2
15.5.,Bob,Matematika,2
23.4.,Zvonilka,Zpěv,1
7.3.,Jerry,Tělocvik,2
18.2.,Karkulka,Zpěv,1
13.2.,Rumcasj,Programování,3
16.3.,Arabela,Programování,1
15.4.,Šebestová,Čtení,2
7.5.,Drsoň,Matematika,3
15.5.,Šebestová,Zeměpis,1
1.5.,Drsoň,Programování,2
16.3.,Arabela,Programování,1
27.6.,Zvonilka,Zeměpis,1
26.4.,Tom,Zeměpis,2
17.4.,Arabela,Čtení,1
14.3.,Rusalka,Psaní,2
17.3.,Ferda,Matematika,2
1.6.,Krátkozraký,Grafika,1
7.3.,Bob,Grafika,4
10.3.,Jasoň,Zeměpis,1
1.4.,Bob,Matematika,3
8.4.,Potter,Grafika,1
12.2.,Krakonoš,Programování,1
24.3.,Horáček,Grafika,5
2.3.,Dlouhý,Grafika,2
12.3.,Dlouhý,Zeměpis,1
12.6.,Tom,Čtení,2
9.3.,Gump,Psaní,3
3.2.,Gump,Psaní,1
24.3.,Krakonoš,Programování,2
1.2.,Krakonoš,Zpěv,1
1.5.,Rumcasj,Tělocvik,3
1.4.,Pažout,Matematika,5
28.3.,Bobek,Programování,3
14.2.,Jasoň,Čtení,1
11.2.,Bystrozraký,Grafika,1
8.2.,Mach,Čtení,1
26.4.,Bob,Matematika,1
21.2.,Rusalka,Programování,2
23.4.,Horáček,Grafika,5
12.3.,Široký,Programování,2
10.3.,Jerry,Matematika,3
8.2.,Drsoň,Matematika,2
14.3.,Drsoň,Tělocvik,3
27.6.,Tom,Programování,2
4.5.,Krakonoš,Psaní,1
28.5.,Drsoň,Tělocvik,2
28.2.,Bobek,Tělocvik,1
7.2.,Jasoň,Zeměpis,2
11.6.,Rusalka,Zpěv,1
22.5.,Bobek,Matematika,3
25.3.,Potter,Tělocvik,1
3.4.,Fantomas,Čtení,2
28.4.,Ferda,Programování,1
5.3.,Popelka,Zpěv,1
27.5.,Ferda,Zpěv,1
16.4.,Jasoň,Matematika,1
2.5.,Rumcasj,Grafika,3
20.4.,Gump,Zpěv,1
14.4.,Mach,Zpěv,1
9.4.,Gump,Zpěv,2
12.5.,Pažout,Tělocvik,4
6.5.,Široký,Tělocvik,3
23.4.,Drsoň,Čtení,3
11.2.,Sněhurka,Tělocvik,1
21.5.,Jasoň,Psaní,1
14.4.,Zvonilka,Zpěv,2
8.6.,Ferda,Programování,2
15.4.,Nemo,Programování,1
24.4.,Arabela,Čtení,1
2.4.,Arabela,Čtení,2
6.5.,Rusalka,Matematika,1
17.6.,Pažout,Čtení,5
6.3.,Karkulka,Tělocvik,1
4.6.,Rumcasj,Čtení,1
23.3.,Drsoň,Zeměpis,3
4.5.,Tuček,Zpěv,1
4.5.,Šlajs,Zpěv,1
24.4.,Horáček,Programování,2
22.2.,Drsoň,Matematika,2
20.5.,Nemo,Programování,1
28.3.,Krakonoš,Psaní,1
17.6.,Karkulka,Matematika,1
5.2.,Bob,Zpěv,1
15.6.,Tuček,Tělocvik,1
15.6.,Šlajs,Tělocvik,1
2.2.,Krátkozraký,Grafika,3
6.2.,Horáček,Zeměpis,2
19.2.,Bob,Čtení,1
16.5.,Bystrozraký,Matematika,1
21.6.,Mach,Psaní,1
16.6.,Pažout,Zpěv,5
6.5.,Karkulka,Programování,1
18.5.,Dlouhý,Zeměpis,2
18.4.,Potter,Grafika,1
16.4.,Jerry,Zeměpis,2
11.2.,Jerry,Zpěv,2
8.2.,Nemo,Matematika,2
11.3.,Pažout,Psaní,5
